"region","industry","costs","revenue"
123,2,329495,320840
123,2,515532,599382
123,4,45778,43077
123,2,100084,111202
123,5,35834,50330
123,5,155696,195169
123,3,25788,39769
123,3,83737,93312
123,3,252171,352256
123,3,227818,241547
123,5,552594,415108
123,2,90633,91959
123,1,184774,264613
123,2,113330,63763
123,2,348715,350241
123,2,523688,577020
123,3,1769043,2331141
123,1,97549,227418
123,3,277419,315776
123,5,305238,402569
123,2,19336,15187
123,5,205202,506651
123,2,137418,194637
123,1,263930,278904
123,3,511668,491982
123,5,601734,461345
123,2,154862,175710
123,3,228053,215570
123,4,32582,59461
123,4,210313,146020
123,2,62150,95321
123,2,148665,232409
123,2,71019,122829
123,1,106124,145431
123,1,355187,461077
123,1,186810,271616
123,1,117986,241875
123,2,439313,621466
123,5,23262,22212
123,2,655390,717968
123,5,88891,115894
123,5,245025,337634
123,5,175667,234136
123,5,187902,296797
123,5,121130,241819
123,5,373078,388184
123,2,110051,157961
123,3,66252,43892
123,2,73770,56948
123,3,162869,82389
123,3,165312,233147
123,3,154781,170761
123,2,227499,387868
123,2,317778,418899
123,3,5127470,4732728
123,4,12679,52222
123,4,327635,425922
123,4,57799,186319
123,4,157744,305468
131,3,148134,255314
131,5,188420,324395
131,3,128773,219108
131,3,354288,468017
131,3,109394,114443
131,5,61536,100457
131,3,140514,166778
131,5,888032,857421
131,5,20666,43825
131,5,252833,341181
131,5,42320,43740
131,5,188473,287367
131,3,160151,156990
131,4,66186,48855
131,2,162423,165490
131,3,332608,303492
131,5,57844,92778
131,5,311868,345417
131,3,46380,61758
131,3,252070,364938
131,5,233448,292532
131,5,193783,169583
131,3,70627,62488
131,5,17664,20413
131,5,171635,297437
131,5,342608,498992
131,3,169027,180728
131,5,38694,66057
131,5,19254,26836
131,5,527491,693601
131,5,432928,668167
131,5,46677,38500
131,4,19069,35079
131,3,71955,95502
131,1,206805,287504
131,4,122210,227902
131,2,96929,187741
131,3,201124,325975
131,3,269997,227668
131,5,474596,476519
131,3,73818,65500
131,5,25127,43081
131,5,137290,203068
131,5,227644,243264
131,5,332862,458034
131,5,592059,533916
131,5,650231,810179
131,3,167385,238986
131,4,16699,37952
131,4,145324,80144
131,4,68076,222865
131,2,72030,88888
131,2,227380,284579
131,5,335802,435516
131,2,762222,822243
131,5,503464,620718
131,3,66269,95189
131,4,411712,138820
131,4,82407,239795
131,4,59196,158230
131,4,49009,93657
131,3,142184,254721
131,5,48937,76092
131,5,175522,146213
131,2,237617,277153
131,4,55932,68633
131,4,168832,184426
131,4,118581,107641
131,5,82619,78608
131,5,89779,125200
131,5,227215,405877
131,3,58126,95059
131,3,31261,47881
131,3,62293,90837
131,3,84896,137640
131,3,99613,154589
131,4,45422,71971
131,4,74466,108267
131,4,68249,85252
131,2,91677,132177
131,4,230422,188975
132,4,18983,28162
132,4,106689,162037
132,4,26075,30006
132,4,32296,45928
132,4,145473,240391
132,4,30566,42249
132,4,43883,42678
132,4,36708,55461
132,4,57454,145488
132,4,17480,20164
132,4,104782,194638
132,4,19703,17961
132,5,96127,118385
132,5,79509,80768
132,2,32712,18220
132,4,15448,37096
132,4,59900,144763
132,5,60206,77557
132,1,73102,105262
132,4,140576,63044
132,4,71554,87568
132,3,22289,10474
132,4,58493,88696
132,5,41320,50559
132,3,24183,20112
132,4,30561,20207
132,4,9301,11289
132,4,8078,18403
132,4,33288,59683
132,4,16290,29651
132,4,46699,92614
132,4,266182,108412
132,4,79724,75340
132,4,134251,320915
